Gold,Silber,Bronze,Total,Geschlecht,Jahr
1229,1000,876,3105,male,1900
18,13,12,43,male,1904
65,69,69,203,male,1908
20,11,11,42,male,1912
21,17,15,53,male,1920
23,21,20,64,male,1924
27,19,18,64,male,1928
11,12,12,35,male,1932
25,26,21,72,male,1936
17,17,8,42,male,1948
23,21,13,57,male,1952
30,16,10,56,male,1956
21,15,13,49,male,1960
20,17,12,49,male,1964
19,14,17,50,male,1968
22,18,23,63,male,1972
18,21,21,60,male,1976
25,23,17,65,male,1980
25,23,17,65,male,1984
17,18,14,49,male,1988
647,566,481,1694,male,1992
16,18,15,49,male,1996
16,18,15,49,male,2000
18,17,11,46,male,2004
15,13,13,41,male,2008
18,20,9,47,male,2012
14,10,11,35,male,2016
14,10,11,35,male,2020
13,15,17,45,male,1924
12,13,9,34,male,1928
1,1,1,3,male,1932
4,1,0,5,male,1936
0,0,1,1,male,1948
1,3,0,4,male,1952
2,1,1,4,male,1956
1,1,1,3,male,1960
1,1,0,2,male,1964
1,1,2,4,male,1968
0,2,0,2,male,1972
1,1,1,3,male,1976
1,1,1,3,male,1980
5,1,1,7,male,1984
3,1,0,4,male,1988
1,1,0,2,male,1992
0,1,1,2,male,1994
2,1,0,3,male,1998
2,0,1,3,male,2002
5,7,6,18,male,2006
7,4,3,14,male,2010
6,6,7,19,male,2014
4,2,4,10,male,2018
3,5,0,8,male,2022
2,4,1,7,male,1956
1,0,1,2,female,1900
1,0,1,2,female,1904
2,2,2,6,female,1908
3,3,4,10,female,1920
3,3,4,10,female,1924
6,5,4,15,female,1928
5,4,3,12,female,1932
9,7,4,20,female,1936
3,2,3,8,female,1948
4,4,2,10,female,1952
2,1,3,6,female,1956
4,5,3,12,female,1960
5,3,1,9,female,1964
7,6,7,20,female,1968
12,8,10,30,female,1972
12,8,10,30,female,1976
8,5,6,19,female,1980
20,22,8,50,female,1984
20,22,8,50,female,1988
20,22,8,50,female,1992
8,4,8,20,female,1996
9,9,14,32,female,2000
8,8,10,26,female,2004
9,4,11,24,female,2008
6,12,9,27,female,2012
9,18,14,41,female,2016
19,9,12,40,female,2020
19,9,12,40,female,1924
19,15,14,48,female,1928
17,16,18,51,female,1932
0,0,1,1,female,1936
1,1,0,2,female,1948
1,1,0,2,female,1952
2,1,0,3,female,1956
1,1,0,2,female,1960
1,3,2,6,female,1964
0,1,1,2,female,1968
1,3,1,5,female,1972
3,1,3,7,female,1976
2,2,2,6,female,1980
0,3,1,4,female,1984
1,2,0,3,female,1988
1,0,2,3,female,1992
5,2,1,8,female,1994
4,3,1,8,female,1998
3,2,2,7,female,2002
4,2,3,9,female,2006
2,3,1,6,female,2010
2,4,3,9,female,2014
4,2,4,10,female,2018
3,2,3,8,female,2022
4,4,3,11,female,1956
